Column,Group,Subgroup,N,Mean,SAMPLE,POPULATION,STD,MSE,SS,TUKEY,SST,SSE,SSA,ALT_SSA,ALT_FTEST
delay_0,Male,Group_1,24,2.375,1.2880434782608696,1.234375,1.1349200316590018,1.234375,29.625,0.05366847826086957,29.62629757785467,29.625,0.001297577854671271,0.001297577854671271,3.808704031322755e-06
delay_0,Female,Group_2,10,2.4,0.9333333333333336,0.8400000000000002,0.966091783079296,0.8400000000000002,8.400000000000002,0.09333333333333335,8.403114186851212,8.400000000000002,0.003114186851211051,0.003114186851211051,8.238589553468386e-05
delay_0,Overall,all,34,2.3823529411764706,1.1524064171122994,1.1185121107266436,1.0735019408982451,1.1185121107266436,38.029411764705884,0.03389430638565587,38.029411764705884,38.029411764705884,0.0,0.0,0.0
delay_1,Male,Group_1,24,2.25,1.2391304347826086,1.1875,1.1131623577819225,1.1875,28.5,0.051630434782608696,28.62975778546713,28.5,0.12975778546712868,0.12975778546712868,0.0003959047611506596
delay_1,Female,Group_2,10,2.5,0.7222222222222222,0.65,0.8498365855987975,0.65,6.5,0.07222222222222222,6.811418685121107,6.5,0.3114186851211066,0.3114186851211066,0.010646792653713046
delay_1,Overall,all,34,2.323529411764706,1.07397504456328,1.0423875432525953,1.0363276723909673,1.0423875432525953,35.44117647058824,0.03158750131068471,35.44117647058824,35.44117647058824,0.0,0.0,0.0
delay_2,Male,Group_1,24,2.2916666666666665,0.911231884057971,0.8732638888888888,0.954584665735822,0.8732638888888888,20.958333333333332,0.03796799516908212,21.726643598615922,20.958333333333332,0.7683102652825857,0.7683102652825857,0.0031877338346930693
delay_2,Female,Group_2,10,2.9,1.877777777777778,1.6900000000000002,1.3703203194062978,1.6900000000000002,16.900000000000002,0.1877777777777778,18.7439446366782,16.900000000000002,1.8439446366781989,1.8439446366781989,0.02424647779984482
delay_2,Overall,all,34,2.4705882352941178,1.2263814616755795,1.1903114186851214,1.1074210859811093,1.1903114186851214,40.47058823529412,0.03607004299045822,40.47058823529412,40.47058823529412,0.0,0.0,0.0
delay_3,Male,Group_1,24,2.2916666666666665,1.5199275362318843,1.4565972222222223,1.2328534123049197,1.4565972222222223,34.958333333333336,0.06333031400966184,35.048442906574394,34.958333333333336,0.09010957324106181,0.09010957324106181,0.000224141551306989
delay_3,Female,Group_2,10,2.5,1.3888888888888888,1.25,1.1785113019775793,1.25,12.5,0.1388888888888889,12.716262975778548,12.5,0.21626297577854647,0.21626297577854647,0.0038446751249519373
delay_3,Overall,all,34,2.3529411764705883,1.447415329768271,1.4048442906574394,1.2030857532895447,1.4048442906574394,47.76470588235294,0.0425710391108315,47.76470588235294,47.76470588235294,0.0,0.0,0.0
delay_4,Male,Group_1,24,2.5833333333333335,1.5579710144927537,1.4930555555555556,1.2481870911416901,1.4930555555555556,35.833333333333336,0.06491545893719806,35.84775086505191,35.833333333333336,0.0144175317185702,0.0144175317185702,3.49869323807568e-05
delay_4,Female,Group_2,10,2.5,2.0555555555555554,1.85,1.4337208778404378,1.85,18.5,0.20555555555555555,18.534602076124564,18.5,0.03460207612456723,0.03460207612456723,0.00041564055404885557
delay_4,Overall,all,34,2.5588235294117645,1.6479500891265597,1.5994809688581315,1.2837250831570441,1.5994809688581315,54.38235294117647,0.04846912026842823,54.38235294117647,54.38235294117647,0.0,0.0,0.0
ALL,Male,Group_1,24,2.375,1.2880434782608696,1.234375,1.1349200316590018,1.234375,29.625,0.05366847826086957,29.66865051903114,29.625,0.04365051903114156,0.04365051903114156,7.118044645205415e-05
ALL,Male,Group_1,24,2.25,1.2391304347826086,1.1875,1.1131623577819225,1.1875,28.5,0.051630434782608696,29.174532871972318,28.5,0.6745328719723171,0.6745328719723171,0.0011433729502030971
ALL,Male,Group_1,24,2.2916666666666665,0.911231884057971,0.8732638888888888,0.954584665735822,0.8732638888888888,20.958333333333332,0.03796799516908212,21.339238754325258,20.958333333333332,0.3809054209919262,0.3809054209919262,0.000877991001220333
ALL,Male,Group_1,24,2.2916666666666665,1.5199275362318843,1.4565972222222223,1.2328534123049197,1.4565972222222223,34.958333333333336,0.06333031400966184,35.33923875432526,34.958333333333336,0.3809054209919262,0.3809054209919262,0.000526376011458674
ALL,Male,Group_1,24,2.5833333333333335,1.5579710144927537,1.4930555555555556,1.2481870911416901,1.4930555555555556,35.833333333333336,0.06491545893719806,36.49217993079584,35.833333333333336,0.6588465974625168,0.6588465974625168,0.0008882326895349064
ALL,Female,Group_2,10,2.4,0.9333333333333336,0.8400000000000002,0.966091783079296,0.8400000000000002,8.400000000000002,0.09333333333333335,8.403114186851212,8.400000000000002,0.003114186851211051,0.003114186851211051,4.576994196371326e-05
ALL,Female,Group_2,10,2.5,0.7222222222222222,0.65,0.8498365855987975,0.65,6.5,0.07222222222222222,6.567820069204152,6.5,0.0678200692041525,0.0678200692041525,0.0012881304692146723
ALL,Female,Group_2,10,2.9,1.877777777777778,1.6900000000000002,1.3703203194062978,1.6900000000000002,16.900000000000002,0.1877777777777778,19.22664359861592,16.900000000000002,2.3266435986159175,2.3266435986159175,0.016996446771976897
ALL,Female,Group_2,10,2.5,1.3888888888888888,1.25,1.1785113019775793,1.25,12.5,0.1388888888888889,12.567820069204151,12.5,0.0678200692041525,0.0678200692041525,0.0006698278439916296
ALL,Female,Group_2,10,2.5,2.0555555555555554,1.85,1.4337208778404378,1.85,18.5,0.20555555555555555,18.567820069204153,18.5,0.0678200692041525,0.0678200692041525,0.00045258638107542533
